Serial;Serial Resposta;Software;Marca;Modelo;Status;Local Fisico;Data Compra;Data Envio;Data Cobranca;Valor Cobranca;Forma Aquisicao;Local Cobranca;Operadora;Serial Chip;PDV
'11326PS30598613';'11326PS30598613';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598826';'11326PS30598826';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;29/11/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598846';'11326PS30598846';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;29/01/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598853';'11326PS30598853';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598866';'11326PS30598866';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;21/06/2022;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598885';'11326PS30598885';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2013;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598890';'11326PS30598890';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598958';'11326PS30598958';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2013;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598975';'11326PS30598975';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - FUNCION;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30598984';'11326PS30598984';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599019';'11326PS30599019';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;30/06/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599036';'11326PS30599036';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599351';'11326PS30599351';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2013;29/07/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599377';'11326PS30599377';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599473';'11326PS30599473';Sem Info;INGENICO;SAGEM EFT 930;CORREIOS;LOJISTA;01/01/2012;29/12/2023;01/01/2024;79,90;Aluguel;Brasilcard;;'';023659;
'11326PS30599490';'11326PS30599490';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599505';'11326PS30599505';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599527';'11326PS30599527';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2013;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599873';'11326PS30599873';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599892';'11326PS30599892';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599897';'11326PS30599897';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599899';'11326PS30599899';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2015;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11326PS30599904';'11326PS30599904';Sem Info;INGENICO;SAGEM EFT 930;CONFIGURADO;Sem Info;01/01/2014;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';019702;
'11326PS30599910';'11326PS30599910';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11327PS30600771';'11327PS30600771';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2015;01/01/1900;01/01/2017;109,90;Aluguel;Brasilcard;;'';015631;
'11327PS30600837';'11327PS30600837';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2012;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11327PS30600840';'11327PS30600840';EXPANSIVA;INGENICO;SAGEM EFT 930;ESTOQUE;POS ANTIGA - DANIFIC;01/01/2014;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'11327PS30600844';'11327PS30600844';Sem Info;INGENICO;ICT 220;CONFIGURADO;Sem Info;01/01/2012;01/01/1900;01/01/2014;109,90;Aluguel;Brasilcard;;'';017288;
